MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
4B:DF:15:EA:DD:97,Apple,120,-51,05:05:00,05:05:30,29.59
5B:73:BD:88:3F:38,Apple,88,-69,05:05:00,05:05:30,29.80
4D:36:07:80:2F:78,Apple,36,-66,05:05:00,05:05:30,29.75
54:AE:09:50:62:61,Apple,74,-51,05:05:00,05:05:30,29.76
4C:B2:63:DF:6B:C9,Apple,62,-53,05:05:00,05:05:30,29.77
6C:54:19:E8:23:01,Apple,111,-59,05:05:00,05:05:30,29.77
4D:D7:20:90:E7:61,Apple,27,-71,05:05:00,05:05:30,29.98
6A:38:5F:22:3E:6B,Apple,44,-50,05:05:00,05:05:30,29.87
FF:94:97:C8:41:24,Apple,4,-53,05:05:00,05:05:20,19.96
4D:65:38:53:88:B0,Apple,70,-47,05:05:00,05:05:30,29.98
42:08:DF:E8:09:D8,Apple,32,-66,05:05:00,05:05:29,29.06
53:08:AA:9F:21:24,Apple,42,-79,05:05:00,05:05:30,29.68
DF:93:5B:2C:E2:AB,Apple,5,-83,05:05:00,05:05:18,18.00
58:71:6C:AF:C9:CE,Apple,50,-79,05:05:00,05:05:29,28.49
5B:F8:69:55:B4:E8,Apple,46,-61,05:05:00,05:05:30,29.50
4E:B1:F7:57:2E:55,Apple,54,-64,05:05:00,05:05:30,29.90
68:A5:93:CC:1C:4E,Unknown,180,-95,05:05:00,05:05:30,29.57
56:E7:60:1E:5A:BD,Apple,36,-58,05:05:00,05:05:30,29.45
6E:C1:06:AA:3C:E6,Apple,33,-77,05:05:00,05:05:28,27.85
56:B0:38:4A:85:F2,Apple,343,-40,05:05:00,05:05:30,29.85
48:42:DF:DA:34:B3,Apple,335,-49,05:05:00,05:05:30,29.91
42:26:28:2B:7A:EE,Apple,70,-53,05:05:00,05:05:30,29.41
58:3D:A5:7A:FC:17,Apple,70,-41,05:05:00,05:05:30,29.69
76:8B:A5:BB:63:FA,Apple,32,-80,05:05:00,05:05:30,29.63
4D:9F:9C:DA:A0:10,Apple,48,-56,05:05:00,05:05:30,29.39
4D:85:D4:2E:DE:DA,Apple,53,-68,05:05:00,05:05:30,29.62
01:E6:69:CA:06:7F,Apple,54,-73,05:05:00,05:05:30,29.75
5A:0B:E0:C3:41:60,Apple,62,-62,05:05:00,05:05:30,29.41
45:BE:61:1A:44:A7,Apple,30,-68,05:05:00,05:05:30,29.66
64:A5:3D:5A:70:41,Apple,44,-52,05:05:00,05:05:30,29.60
55:0D:89:7C:C0:EB,Apple,40,-73,05:05:00,05:05:30,29.38
54:41:59:71:EA:32,Apple,32,-82,05:05:00,05:05:29,29.04
67:CE:FC:90:8E:78,Apple,31,-77,05:05:00,05:05:30,29.29
57:C5:37:6B:28:31,Apple,43,-59,05:05:00,05:05:29,28.89
C0:95:6D:6C:89:DF,Apple,40,-55,05:05:00,05:05:30,29.26
4D:85:D4:46:DA:40,Unknown,120,-63,05:05:00,05:05:30,29.59
12:6D:C3:A9:8C:B9,Apple,75,-50,05:05:00,05:05:30,29.40
7E:8D:CF:63:D2:DD,Apple,74,-78,05:05:00,05:05:30,29.28
75:2B:BC:E2:08:FF,Apple,57,-29,05:05:00,05:05:30,29.68
6F:69:C9:50:3A:FC,Apple,182,-76,05:05:00,05:05:29,28.85
E7:4E:75:8E:20:33,Apple,5,-67,05:05:00,05:05:29,28.13
CF:86:BC:8C:B4:45,Apple,6,-71,05:05:00,05:05:27,26.01
47:27:EC:90:3F:59,Apple,40,-34,05:05:01,05:05:30,29.37
58:36:4E:A8:46:39,Apple,28,-83,05:05:01,05:05:30,29.49
63:95:CD:D0:E1:AA,Apple,41,-65,05:05:01,05:05:29,28.22
56:1B:3A:11:51:C7,Apple,42,-80,05:05:01,05:05:29,28.20
5F:CD:16:55:D6:0E,Apple,32,-69,05:05:01,05:05:29,28.50
4A:31:BC:2B:53:14,Apple,75,-73,05:05:01,05:05:30,29.45
55:38:9C:3D:AB:EF,Apple,44,-77,05:05:01,05:05:30,29.19
C0:EC:2D:1C:A8:37,Apple,2,-81,05:05:01,05:05:27,26.01
66:84:E2:1B:1F:48,Apple,43,-64,05:05:01,05:05:30,29.12
1D:4C:AC:1C:96:29,Apple,71,-60,05:05:01,05:05:30,29.03
48:55:BE:AC:7F:7A,Apple,43,-60,05:05:01,05:05:29,27.84
EF:5B:27:12:C3:67,Apple,8,-84,05:05:01,05:05:28,27.07
48:E2:33:22:77:0A,Apple,51,-85,05:05:01,05:05:30,29.42
74:8A:94:A0:9A:05,Apple,39,-79,05:05:01,05:05:30,29.14
FE:70:4E:91:64:C7,Apple,7,-29,05:05:01,05:05:25,24.00
65:73:FF:F3:27:B3,Apple,16,-83,05:05:01,05:05:29,28.42
E9:3A:0B:F5:19:6C,Apple,5,-39,05:05:01,05:05:25,24.00
CA:E3:3D:31:9D:59,Apple,7,-52,05:05:01,05:05:25,23.98
69:D2:DA:D9:D4:CD,Apple,19,-86,05:05:01,05:05:28,27.54
5D:EC:44:47:D9:1F,Apple,33,-81,05:05:01,05:05:30,28.83
43:EC:A9:71:D4:CA,Apple,34,-76,05:05:01,05:05:30,28.57
5C:C3:C9:A2:A5:86,Apple,29,-71,05:05:01,05:05:29,28.30
64:91:D8:FC:8A:36,Apple,36,-85,05:05:01,05:05:30,29.15
E1:69:18:DF:AB:DA,Apple,3,-54,05:05:01,05:05:21,19.99
C3:5A:09:F6:FD:24,Apple,4,-82,05:05:01,05:05:25,23.97
57:F9:55:D1:6F:60,Apple,5,-69,05:05:01,05:05:03,2.20
5C:80:5B:DC:6C:93,Apple,19,-79,05:05:01,05:05:29,28.05
6D:F6:A9:03:1A:F5,Apple,35,-79,05:05:01,05:05:28,27.00
58:D9:36:9C:2A:2D,Apple,43,-58,05:05:01,05:05:30,28.78
EB:3C:DC:CA:D1:77,Apple,5,-82,05:05:01,05:05:29,27.98
F6:75:64:53:20:B5,Apple,7,-70,05:05:01,05:05:29,27.60
E3:05:FC:9A:87:0A,Apple,5,-80,05:05:01,05:05:19,17.98
75:1B:F1:F7:B3:27,Apple,5,-84,05:05:01,05:05:19,17.54
F1:14:68:47:26:AE,Apple,3,-67,05:05:01,05:05:23,21.99
72:FE:1E:BD:30:1E,Apple,24,-77,05:05:01,05:05:30,28.32
DB:85:D8:F0:2B:91,Apple,5,-85,05:05:01,05:05:29,28.01
FB:35:EC:FF:20:28,Apple,3,-80,05:05:01,05:05:15,13.99
EC:52:F7:A0:74:8A,Apple,9,-48,05:05:01,05:05:29,27.99
40:5B:AD:99:2B:A1,Apple,39,-74,05:05:01,05:05:30,28.33
88:0E:85:84:B7:2C,ID: 3720,38,-80,05:05:02,05:05:30,28.30
6C:9A:C0:95:31:3E,Apple,45,-76,05:05:02,05:05:30,28.56
57:FE:62:E7:53:39,Apple,23,-70,05:05:02,05:05:25,23.68
F2:BC:A1:92:D0:E5,Apple,9,-64,05:05:02,05:05:29,27.10
E7:5B:F3:9A:97:04,Apple,6,-69,05:05:02,05:05:20,17.98
4B:26:F6:1A:D7:98,Apple,24,-71,05:05:02,05:05:30,28.28
64:5E:A7:33:99:30,Apple,16,-87,05:05:02,05:05:27,25.52
5E:AB:47:B2:2C:67,Apple,12,-72,05:05:02,05:05:24,22.56
69:A2:C7:23:1F:7D,Apple,15,-73,05:05:02,05:05:29,27.76
64:51:4C:9E:EE:FB,Apple,28,-87,05:05:02,05:05:30,28.39
6B:A9:63:FE:03:2E,Apple,45,-74,05:05:02,05:05:30,27.98
7D:E0:A3:3C:BA:5A,Apple,22,-84,05:05:02,05:05:30,28.23
40:DC:CE:74:B2:F4,Apple,23,-75,05:05:02,05:05:29,27.26
54:41:58:AC:3E:81,Apple,7,-93,05:05:02,05:05:24,21.70
46:BC:EF:5F:E8:B9,Apple,22,-79,05:05:02,05:05:30,27.98
C2:46:34:BE:A2:A7,Apple,4,-91,05:05:02,05:05:26,23.99
78:89:7D:5F:E0:9C,Apple,2,-88,05:05:02,05:05:03,0.39
46:96:7F:97:FD:A5,Apple,28,-70,05:05:02,05:05:30,27.46
F3:BA:95:52:FC:94,Apple,4,-89,05:05:02,05:05:26,24.01
F3:5A:7F:9E:73:36,Apple,6,-84,05:05:02,05:05:21,18.87
EF:9A:00:F8:4C:56,Apple,9,-79,05:05:02,05:05:26,23.86
F0:1A:A0:6F:06:D0,ID: 283,4,-64,05:05:02,05:05:23,20.03
F2:A6:1E:CA:58:D6,Apple,7,-76,05:05:02,05:05:28,26.00
63:56:58:25:82:E7,Apple,5,-67,05:05:02,05:05:27,24.11
D6:37:3C:40:C3:04,Apple,4,-72,05:05:03,05:05:25,21.98
EB:92:36:8E:8E:10,Apple,6,-62,05:05:03,05:05:25,21.99
65:FF:69:6B:E2:B6,Apple,14,-80,05:05:03,05:05:30,27.15
C4:18:DC:FF:E9:F2,Apple,6,-76,05:05:03,05:05:21,17.97
F9:3F:33:00:86:6D,Apple,6,-83,05:05:03,05:05:26,22.86
7B:D3:46:32:5A:82,Unknown,23,-68,05:05:03,05:05:21,18.15
56:AC:AA:03:6D:66,Apple,7,-60,05:05:03,05:05:29,25.99
DF:3C:19:5E:95:B2,Apple,5,-68,05:05:03,05:05:29,26.00
D7:63:99:E3:72:98,ID: 2,5,-69,05:05:03,05:05:27,23.96
64:11:53:18:A4:A0,ID: 301,5,-96,05:05:03,05:05:26,23.40
54:26:50:AA:A7:72,Apple,35,-80,05:05:03,05:05:30,26.64
41:1B:D3:B6:28:B5,Apple,3,-91,05:05:03,05:05:19,15.44
FD:79:97:98:AC:53,Apple,3,-76,05:05:03,05:05:19,15.98
F1:FF:BE:DB:3C:3F,Apple,7,-82,05:05:03,05:05:30,26.01
D8:7E:53:8A:DF:9E,Apple,6,-72,05:05:04,05:05:28,23.94
D5:E6:6C:0F:08:6E,Apple,1,-80,05:05:04,05:05:04,0.00
A4:46:B4:C4:D7:63,Unknown,13,-71,05:05:04,05:05:30,25.83
EE:E6:37:77:07:34,Apple,7,-56,05:05:04,05:05:28,23.99
6C:66:C6:A6:9B:14,Apple,19,-84,05:05:04,05:05:30,25.57
D3:A3:04:B7:AB:45,Apple,52,-55,05:05:05,05:05:07,2.94
D8:FA:D0:F4:6D:51,Apple,7,-60,05:05:05,05:05:29,23.99
65:67:B1:FF:12:3C,Apple,21,-74,05:05:05,05:05:30,24.96
53:D1:43:A4:EA:E0,Apple,16,-68,05:05:05,05:05:29,24.43
EC:3F:BA:3C:63:15,Apple,6,-65,05:05:05,05:05:23,17.97
F1:39:01:71:AA:85,Apple,6,-68,05:05:05,05:05:29,23.99
E4:AF:5E:47:28:E5,Apple,6,-80,05:05:05,05:05:28,22.40
C0:24:1C:A2:FD:CF,Apple,7,-68,05:05:05,05:05:25,19.98
CF:B0:07:3F:B1:A7,Apple,2,-71,05:05:05,05:05:13,7.99
D0:B6:4C:C5:E3:75,Apple,3,-79,05:05:06,05:05:24,17.88
7D:8A:06:E4:6C:84,Apple,4,-69,05:05:06,05:05:30,24.00
CB:75:0D:78:E1:01,Apple,4,-88,05:05:06,05:05:28,22.00
C9:DC:1C:65:0F:1B,Apple,4,-83,05:05:06,05:05:24,17.97
DF:6D:DE:57:EB:07,Apple,6,-82,05:05:06,05:05:24,18.00
E6:A8:93:A4:B8:2A,Apple,3,-70,05:05:07,05:05:15,7.98
C4:27:BB:76:F6:AA,Unknown,1,-88,05:05:07,05:05:07,0.00
D8:86:08:ED:38:78,Apple,6,-53,05:05:07,05:05:29,22.02
40:24:1E:0A:F4:63,Apple Pencil,12,-68,05:05:07,05:05:08,1.66
