MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
07:8D:B9:C5:1C:9D,Apple,106,-76,05:16:02,05:16:15,12.77
12:52:BC:2E:B2:96,Microsoft,4,-88,05:16:02,05:16:09,7.13
E4:B3:23:BE:2D:3E,EF-R3P70283,205,-87,05:16:02,05:16:28,25.92
63:52:CB:91:89:64,Apple,47,-79,05:16:02,05:16:32,29.68
52:9E:66:31:BC:AF,Apple,90,-55,05:16:02,05:16:32,29.58
6B:9C:2C:70:38:22,Apple,9,-76,05:16:02,05:16:14,12.40
AC:4D:16:B1:22:3F,S107ac1ab36c40937C,115,-84,05:16:02,05:16:19,16.49
4E:85:D9:72:62:5F,Apple,73,-71,05:16:02,05:16:32,29.60
75:9D:79:46:2E:5D,Apple,9,-90,05:16:02,05:16:13,10.68
4D:4D:F0:A9:58:28,Apple,15,-89,05:16:02,05:16:18,15.69
76:3E:94:DF:D2:13,Apple,1,-71,05:16:02,05:16:02,0.00
40:EF:D1:A1:B1:0B,Apple,36,-76,05:16:02,05:16:31,28.36
5D:70:F2:18:C0:AA,Apple,29,-79,05:16:02,05:16:30,27.63
74:49:44:D1:FB:F4,Apple,50,-36,05:16:02,05:16:32,29.27
7B:92:24:56:1A:1A,Apple,2,-90,05:16:02,05:16:05,2.47
61:B3:78:2B:1E:76,Apple,20,-90,05:16:02,05:16:20,17.91
00:1C:C2:A1:DC:E3,DREOcd05wE2,19,-75,05:16:02,05:16:12,10.06
4C:9B:1F:1D:F4:7B,Apple,2,-86,05:16:02,05:16:03,0.27
46:2E:A2:DD:D9:A4,Apple,5,-84,05:16:03,05:16:08,5.39
72:AA:F4:EC:67:70,Apple,1,-78,05:16:03,05:16:03,0.00
4B:5D:99:A3:9F:5D,Apple,4,-67,05:16:03,05:16:07,4.28
60:D3:A9:5F:9E:E9,Apple,41,-76,05:16:03,05:16:30,27.62
C8:B5:DF:D4:25:B0,Apple,7,-27,05:16:03,05:16:27,24.05
5D:19:C4:3A:20:D4,Apple,4,-91,05:16:03,05:16:14,11.52
86:2A:FD:07:BE:46,Unknown,3,-90,05:16:03,05:16:03,0.64
4F:22:EF:6A:A2:F6,Apple,2,-77,05:16:03,05:16:11,7.88
6A:84:BB:98:EB:49,Apple,4,-76,05:16:03,05:16:09,6.74
10:8E:CD:26:67:6F,Unknown,6,-84,05:16:03,05:16:09,6.58
2A:E1:31:E6:6C:AB,Apple,12,-68,05:16:03,05:16:13,10.09
5B:AF:F9:64:1C:0E,Apple,4,-95,05:16:03,05:16:04,0.73
D1:88:36:CA:F1:4B,Apple,2,-85,05:16:03,05:16:11,8.02
E9:3A:0B:F5:19:6C,Apple,8,-56,05:16:03,05:16:31,28.05
44:85:38:6B:AC:DF,Apple,17,-91,05:16:03,05:16:17,14.31
2C:4C:C6:46:21:61,ID: 9474,2,-80,05:16:03,05:16:07,3.83
12:04:D8:50:E9:C2,ID: 62410,5,-95,05:16:03,05:16:15,12.17
FC:B4:67:2E:B9:82,ESP32,4,-69,05:16:03,05:16:08,5.10
11:21:FD:B9:55:55,IOTBT555,6,-74,05:16:03,05:16:08,4.49
E9:10:03:76:AC:D9,Apple,8,-64,05:16:03,05:16:31,27.91
2D:5B:C2:98:77:F8,Apple,3,-89,05:16:03,05:16:10,7.02
42:A5:15:FB:D2:79,Apple,1,-88,05:16:04,05:16:04,0.00
62:B4:E7:E6:FD:1C,Apple,1,-96,05:16:04,05:16:04,0.00
D2:1B:E5:29:1E:C7,Apple,4,-87,05:16:04,05:16:14,10.02
FF:13:27:33:0E:82,Apple,4,-78,05:16:04,05:16:16,12.02
40:55:15:46:27:59,Apple,6,-81,05:16:04,05:16:20,16.07
7C:1B:CC:A9:BF:66,Apple,2,-86,05:16:04,05:16:06,1.63
60:5A:10:3C:32:C9,Apple,3,-76,05:16:04,05:16:09,4.69
5A:81:DB:F4:D3:21,Apple,2,-89,05:16:04,05:16:07,2.76
48:71:B4:2F:CB:52,Apple,2,-88,05:16:04,05:16:15,11.26
1E:76:2E:CE:BD:6B,Apple,1,-90,05:16:04,05:16:04,0.00
40:C2:EC:59:55:77,Apple,3,-76,05:16:04,05:16:11,6.73
C6:F1:E4:F3:FF:C8,Apple,9,-58,05:16:04,05:16:30,26.05
5F:B7:22:BD:22:D7,Apple,1,-95,05:16:04,05:16:04,0.00
E4:52:1E:9B:D9:54,Apple,6,-92,05:16:04,05:16:11,6.69
43:00:34:75:FA:8F,Apple,1,-77,05:16:04,05:16:04,0.00
5A:61:41:DA:91:DF,Apple,2,-84,05:16:04,05:16:08,3.58
54:8F:CD:EE:40:3A,Apple,1,-87,05:16:04,05:16:04,0.00
57:B8:7D:5B:3E:F7,Apple,4,-73,05:16:05,05:16:10,5.55
5F:42:E9:61:19:F0,Apple,4,-83,05:16:05,05:16:12,7.50
E6:BA:F8:7B:A1:84,Apple,1,-83,05:16:05,05:16:05,0.00
3D:E6:A2:40:74:6C,Apple,4,-65,05:16:05,05:16:08,3.33
DB:0B:34:2D:E2:48,Apple,6,-77,05:16:05,05:16:31,26.06
5E:3C:1A:63:00:05,Apple,6,-86,05:16:05,05:16:13,8.54
88:C6:26:C6:19:C3,ID: 3,4,-82,05:16:05,05:16:11,6.04
D1:60:FE:7B:8D:4B,Apple,1,-89,05:16:05,05:16:05,0.00
61:6B:CF:87:76:6B,Apple,1,-92,05:16:05,05:16:05,0.00
59:44:61:E6:68:38,Apple,2,-80,05:16:05,05:16:08,2.74
C3:F2:43:AA:39:03,Apple,5,-73,05:16:05,05:16:21,16.02
6C:D2:16:01:A8:F0,Apple,3,-88,05:16:05,05:16:11,5.78
72:A3:BF:ED:23:60,Apple,6,-92,05:16:05,05:16:19,13.54
50:63:32:D8:03:1A,Apple,26,-91,05:16:06,05:16:15,9.31
7B:87:10:2F:2C:6C,Apple,1,-81,05:16:06,05:16:06,0.00
7B:8D:13:16:D5:89,Apple,2,-82,05:16:06,05:16:11,5.49
52:D8:FF:16:A0:BB,Apple,1,-81,05:16:06,05:16:06,0.00
EB:F1:6D:FE:4B:E3,Apple,1,-71,05:16:06,05:16:06,0.00
6D:4A:A1:A9:4D:71,Apple,1,-84,05:16:06,05:16:06,0.00
F0:EC:B8:5E:89:07,Apple,1,-87,05:16:06,05:16:06,0.00
FE:A0:A6:F5:D2:7C,Apple,2,-94,05:16:06,05:16:08,2.00
E3:F8:F1:4B:4D:AB,Apple,6,-88,05:16:06,05:16:30,24.06
C1:FB:5F:1E:B6:40,Apple,2,-74,05:16:06,05:16:08,2.01
E5:BB:4B:25:C2:4F,Apple,1,-83,05:16:06,05:16:06,0.00
C3:A9:AA:9A:6C:7B,Apple,2,-83,05:16:06,05:16:08,1.99
45:C1:49:07:9B:AD,Apple,2,-87,05:16:06,05:16:11,4.93
72:46:09:DB:BD:F6,ID: 13825,3,-84,05:16:06,05:16:11,4.40
F4:49:93:63:3F:3D,Apple,1,-95,05:16:06,05:16:06,0.00
E7:9A:E5:04:D2:B4,Apple,3,-70,05:16:06,05:16:12,6.01
6B:60:0E:A6:C8:74,Apple,2,-90,05:16:07,05:16:09,2.39
4B:B4:D6:DE:D8:D5,Apple,1,-88,05:16:07,05:16:07,0.00
80:64:6F:2E:15:6A,ID: 9474,1,-91,05:16:07,05:16:07,0.00
10:97:BD:6C:A3:22,ID: 9474,1,-91,05:16:07,05:16:07,0.00
E0:B7:F1:34:FF:72,Apple,3,-90,05:16:07,05:16:13,6.01
EC:35:06:37:6B:F9,E2 Pro 1525,3,-97,05:16:07,05:16:12,5.52
34:94:54:C5:0F:5E,LAP-C302S-WUSB,1,-84,05:16:07,05:16:07,0.00
EC:AC:BD:F1:79:96,Apple,1,-68,05:16:07,05:16:07,0.00
48:FA:5E:B2:BB:33,Apple,5,-90,05:16:07,05:16:14,6.62
51:2F:99:1A:4D:ED,Apple,5,-80,05:16:07,05:16:13,5.39
CA:E3:3D:31:9D:59,Apple,9,-27,05:16:07,05:16:29,22.06
FE:21:18:46:4B:1C,Apple,1,-96,05:16:07,05:16:07,0.00
71:3C:62:16:59:81,Apple,2,-87,05:16:08,05:16:10,2.73
49:8A:09:39:60:AC,Apple,3,-80,05:16:08,05:16:09,1.48
E4:FF:E3:65:0E:BD,Apple,9,-76,05:16:08,05:16:32,24.05
0C:7A:32:E4:24:27,Microsoft,1,-88,05:16:08,05:16:08,0.00
E6:F9:68:A2:C9:05,Apple,1,-93,05:16:08,05:16:08,0.00
58:DA:F1:5F:A7:F1,Apple,2,-79,05:16:08,05:16:12,4.44
EB:7C:33:74:A4:1C,Apple,2,-95,05:16:08,05:16:12,4.02
4A:AA:4A:C1:B1:DB,Apple,1,-94,05:16:08,05:16:08,0.00
10:94:97:2B:4E:DC,ID: 3,1,-94,05:16:08,05:16:08,0.00
69:06:BC:5E:00:F7,ID: 1281,4,-73,05:16:09,05:16:13,4.94
54:35:A6:B2:B4:A2,ID: 13825,2,-83,05:16:09,05:16:15,6.05
F1:63:63:74:3F:AB,Apple,5,-88,05:16:09,05:16:23,14.04
64:B6:25:87:78:57,Apple,1,-84,05:16:10,05:16:10,0.00
48:47:AA:7B:DE:5B,Apple,1,-72,05:16:10,05:16:10,0.00
3F:82:8D:A3:14:78,Apple,9,-87,05:16:10,05:16:17,6.71
FE:5C:D6:78:93:B9,Apple,2,-86,05:16:10,05:16:13,2.95
53:BD:B1:D7:3B:B4,Apple,1,-76,05:16:11,05:16:11,0.00
11:08:5E:9F:0C:44,Microsoft,3,-93,05:16:11,05:16:11,0.54
7C:25:3E:3D:3E:4A,Apple,6,-87,05:16:11,05:16:17,6.32
5C:C9:74:69:43:6C,Apple,4,-94,05:16:11,05:16:24,12.92
4A:FF:14:40:50:4B,Apple,1,-94,05:16:11,05:16:11,0.00
FE:70:4E:91:64:C7,Apple,5,-63,05:16:11,05:16:31,20.06
57:75:D1:C5:77:7B,Apple,3,-78,05:16:11,05:16:16,4.69
49:32:EF:84:D5:B3,Apple,2,-85,05:16:11,05:16:11,0.28
3A:CA:84:CF:CD:AB,Unknown,6,-80,05:16:11,05:16:16,4.40
F3:48:54:ED:AC:74,Apple,2,-74,05:16:11,05:16:13,2.00
