MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
00:0A:45:23:F2:70,LE_ATH-M50xBT2,49,-63,05:44:12,05:44:41,28.20
49:3C:F4:8C:21:A3,Apple,32,-54,05:44:12,05:44:36,23.80
5D:B7:AB:E2:0F:71,Apple,15,-64,05:44:12,05:44:41,28.85
A8:E6:E8:12:1E:18,Unknown,51,-74,05:44:12,05:44:43,30.13
7D:61:03:BE:6C:89,Apple,3,-82,05:44:12,05:44:13,0.29
52:91:12:30:28:D8,Apple,35,-70,05:44:12,05:44:42,30.06
7B:82:AD:A4:66:E5,Apple,2,-76,05:44:12,05:44:36,24.05
54:68:C9:4D:2B:00,Apple,88,-78,05:44:12,05:44:41,28.95
71:1F:5A:95:87:61,Apple,3,-74,05:44:12,05:44:15,3.00
77:BC:6B:EA:F8:56,Apple,47,-54,05:44:12,05:44:42,29.59
2F:11:2D:C1:46:22,Microsoft,25,-81,05:44:12,05:44:40,27.35
7C:89:A1:DB:71:F2,Apple,2,-78,05:44:12,05:44:21,8.05
48:FF:3F:16:B6:73,Apple,26,-81,05:44:12,05:44:41,28.08
F5:77:CB:D6:52:71,Unknown,241,-82,05:44:12,05:44:42,29.87
7E:55:D0:1C:CC:CC,Apple,27,-69,05:44:12,05:44:36,23.80
72:5A:17:4F:09:F9,Apple,1,-87,05:44:12,05:44:12,0.00
FA:46:FB:50:58:B5,Seos,51,-67,05:44:12,05:44:42,29.62
67:57:1E:A5:AD:DC,Apple,28,-72,05:44:13,05:44:39,26.93
2C:FB:8F:E3:60:8B,Microsoft,73,-70,05:44:13,05:44:42,29.44
D3:BE:E2:59:EF:22,Apple,3,-69,05:44:13,05:44:29,16.07
E0:FC:04:ED:B8:C6,Apple,3,-86,05:44:13,05:44:35,22.04
F4:6B:69:E2:72:9D,Apple,6,-58,05:44:13,05:44:41,28.07
C7:2A:9E:EA:47:02,Unknown,23,-83,05:44:13,05:44:42,28.95
6B:BB:EE:2D:1F:14,Apple,2,-87,05:44:13,05:44:37,24.52
58:58:8D:8E:1A:F9,Apple,3,-86,05:44:13,05:44:38,25.03
69:F8:4C:7B:67:3F,Apple,36,-71,05:44:13,05:44:42,29.14
D9:16:BE:FB:B7:D5,Apple,3,-87,05:44:13,05:44:25,12.04
7C:C4:C1:3B:1E:72,Apple,23,-81,05:44:13,05:44:42,28.92
4C:1F:90:88:A2:FF,Apple,43,-52,05:44:13,05:44:42,29.47
0E:F7:4E:7E:47:08,Microsoft,9,-68,05:44:13,05:44:41,28.63
E1:B4:7F:28:97:8E,Apple,6,-78,05:44:13,05:44:41,28.06
57:23:1D:97:DB:DA,Apple,20,-58,05:44:13,05:44:36,23.74
1D:63:F1:13:85:D9,Microsoft,38,-77,05:44:13,05:44:41,27.89
1F:98:44:D8:B1:14,Apple,6,-87,05:44:13,05:44:38,25.12
4C:54:BC:A3:64:7E,Apple,16,-83,05:44:13,05:44:38,24.87
10:C2:58:10:64:1A,Microsoft,26,-71,05:44:13,05:44:42,28.92
65:A0:7C:85:F1:EA,Apple,12,-81,05:44:13,05:44:42,29.13
4B:36:08:86:56:69,Apple,22,-67,05:44:13,05:44:41,28.46
61:3C:C0:3D:15:F3,Apple,33,-71,05:44:13,05:44:41,28.25
67:FE:21:C3:FD:3C,Apple,87,-79,05:44:13,05:44:41,28.57
CA:27:08:E8:31:EC,Apple,3,-71,05:44:13,05:44:39,26.07
5A:62:54:71:F7:41,Apple,32,-76,05:44:13,05:44:41,28.64
46:28:B7:CF:47:39,Apple,29,-77,05:44:13,05:44:38,24.86
F7:A8:25:14:C3:50,Apple,6,-58,05:44:13,05:44:41,28.06
51:13:DC:DC:98:3E,Apple,7,-77,05:44:13,05:44:37,24.20
78:CC:0B:9C:38:DD,Apple,30,-76,05:44:13,05:44:42,28.89
C8:CA:24:D3:AB:E7,Unknown,44,-79,05:44:13,05:44:42,28.97
69:69:E4:D0:CA:7E,Apple,8,-82,05:44:13,05:44:39,25.83
5C:4E:EC:F0:44:54,Apple,7,-72,05:44:13,05:44:42,29.15
70:18:DC:60:B3:33,Apple,15,-83,05:44:13,05:44:42,28.90
68:FA:16:B9:8D:06,Apple,12,-83,05:44:13,05:44:35,22.07
16:9B:46:73:94:33,Microsoft,20,-79,05:44:13,05:44:42,29.29
55:5C:7E:9E:B9:D1,Unknown,23,-85,05:44:13,05:44:41,28.17
34:C3:11:31:36:68,Apple,28,-88,05:44:13,05:44:42,29.27
55:57:DE:AD:0B:8E,Apple,3,-73,05:44:13,05:44:37,24.07
00:1B:66:C6:85:B9,Unknown,1,-80,05:44:13,05:44:13,0.00
66:E0:5F:F7:F5:6F,Apple,28,-27,05:44:13,05:44:41,27.72
7F:FF:FB:90:B7:73,Apple,16,-89,05:44:13,05:44:42,29.11
C7:8D:ED:81:86:C3,Apple,1,-89,05:44:13,05:44:13,0.00
5B:1F:00:72:EA:B1,Apple,15,-76,05:44:13,05:44:41,28.11
7B:D2:74:2E:69:20,Apple,20,-79,05:44:13,05:44:42,28.92
6F:7D:EB:9A:FE:44,Apple,10,-86,05:44:13,05:44:42,29.19
5A:EA:FE:B7:F6:CD,Apple,9,-76,05:44:13,05:44:42,28.87
52:CB:33:1B:F1:A0,Apple,10,-84,05:44:13,05:44:41,28.09
C9:36:A9:F6:6F:6B,Unknown,11,-73,05:44:13,05:44:42,29.26
62:A2:6B:73:8D:07,Apple,8,-84,05:44:13,05:44:42,29.17
E2:3B:01:B5:26:44,Apple,70,-81,05:44:13,05:44:42,29.21
69:E1:7A:92:BD:2E,Unknown,40,-83,05:44:13,05:44:42,29.03
6D:C8:1D:F0:4B:29,N6S2C,10,-75,05:44:13,05:44:42,29.21
59:10:B2:11:F6:1F,Apple,15,-90,05:44:13,05:44:40,26.44
72:0C:C0:14:6E:B7,Apple,10,-81,05:44:13,05:44:35,21.52
FE:AE:2C:4D:D3:AD,Apple,2,-82,05:44:13,05:44:27,13.99
64:B9:CE:37:EB:49,Apple,18,-79,05:44:13,05:44:40,26.32
7A:4F:FD:D4:80:AF,Apple,1,-86,05:44:13,05:44:13,0.00
6F:AE:25:7E:AA:B2,Apple,29,-71,05:44:13,05:44:42,29.12
56:5C:17:58:2D:8B,Apple,15,-75,05:44:13,05:44:41,27.93
6E:D3:93:D8:76:56,Apple,4,-81,05:44:13,05:44:24,10.55
75:43:B2:60:45:BB,Apple,30,-48,05:44:13,05:44:41,28.03
5B:AC:4D:F2:44:F0,Apple,15,-78,05:44:13,05:44:42,28.79
7E:5D:5B:24:76:70,Apple,8,-83,05:44:13,05:44:37,23.45
00:A4:1C:9D:84:35,Unknown,15,-72,05:44:13,05:44:41,27.42
15:AE:EE:D1:25:D0,Microsoft,8,-76,05:44:13,05:44:32,18.23
CA:ED:B8:81:AC:33,Apple,4,-69,05:44:13,05:44:37,24.04
46:D5:79:74:EF:CC,Apple,11,-80,05:44:13,05:44:41,27.84
D6:AB:8C:E4:D8:66,Apple,2,-65,05:44:13,05:44:34,20.04
7E:EB:D4:B5:A6:5F,Apple,43,-47,05:44:13,05:44:42,28.52
7C:7E:64:C2:F0:B7,Apple,25,-89,05:44:14,05:44:42,28.56
5B:ED:CB:06:CF:5D,Apple,9,-81,05:44:14,05:44:42,28.37
6A:F5:27:21:00:B2,Apple,3,-97,05:44:14,05:44:24,10.46
43:5D:10:67:29:FD,Apple,8,-85,05:44:14,05:44:42,28.57
E5:88:06:D2:02:B4,Apple,1,-66,05:44:14,05:44:14,0.00
64:0B:2B:65:1D:72,Apple,6,-74,05:44:14,05:44:40,26.60
ED:F5:5A:DA:A8:C5,Apple,2,-77,05:44:14,05:44:26,12.03
73:DA:03:7C:77:30,Apple,1,-88,05:44:14,05:44:14,0.00
79:BD:0E:C2:AE:6D,Apple,1,-69,05:44:14,05:44:14,0.00
65:32:92:2F:D2:85,Apple,10,-81,05:44:14,05:44:42,27.81
78:C9:9C:22:C8:59,Apple,13,-81,05:44:14,05:44:42,28.07
62:60:B5:55:E5:6E,Apple,38,-71,05:44:14,05:44:42,27.56
59:0D:CD:0E:4F:0F,Apple,13,-65,05:44:14,05:44:41,27.17
71:10:87:BC:A5:82,Apple,20,-90,05:44:14,05:44:42,28.41
