MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
C5:F7:A0:8C:D6:F7,Apple,12,-86,12:29:49,12:30:19,29.77
53:72:E2:2A:BA:98,Apple,5,-86,12:29:49,12:30:08,19.20
63:25:1E:1A:43:B9,Apple,124,-79,12:29:49,12:30:19,29.69
68:B3:02:BD:E2:98,Apple,14,-83,12:29:49,12:30:18,28.89
6E:15:3D:FE:54:1E,Apple,71,-79,12:29:49,12:30:18,29.39
5F:A9:7C:77:3D:F4,Apple,17,-83,12:29:49,12:30:16,27.24
5D:33:BE:C1:E2:AA,Apple,7,-71,12:29:49,12:30:16,26.98
7C:52:C2:AF:F0:16,Apple,28,-73,12:29:49,12:30:19,29.55
54:CA:DD:9D:43:1E,Apple,16,-79,12:29:49,12:30:19,29.60
56:2B:03:78:BD:E9,Apple,13,-79,12:29:49,12:30:15,25.58
66:00:43:BB:D8:7B,Apple,12,-78,12:29:49,12:30:16,26.52
6D:28:6A:3E:2B:A6,Apple,13,-83,12:29:49,12:30:18,28.70
16:27:B0:28:F4:4C,Microsoft,8,-86,12:29:49,12:30:13,23.76
7E:65:DA:CD:32:5A,Apple,25,-80,12:29:49,12:30:18,29.20
75:B0:D9:6E:98:27,Apple,42,-81,12:29:49,12:30:17,28.23
72:C0:5D:D5:96:5D,Apple,23,-68,12:29:49,12:30:17,28.08
F6:A5:9C:84:2F:B1,Apple,5,-59,12:29:49,12:30:11,22.05
70:4C:CB:AF:46:1C,Apple,30,-79,12:29:49,12:30:18,29.24
50:E3:CE:7D:96:36,Apple,2,-87,12:29:49,12:30:07,17.79
F8:E3:F1:F8:15:D5,Apple,3,-89,12:29:49,12:29:57,8.02
40:36:D3:B0:CA:40,Apple,18,-82,12:29:49,12:30:16,26.22
4C:2E:7B:30:29:08,Apple,29,-86,12:29:49,12:30:14,24.76
69:24:C7:1B:5D:C5,Apple,8,-72,12:29:49,12:30:15,25.76
4B:60:DF:5D:7A:A4,Apple,15,-62,12:29:49,12:30:18,28.92
63:C6:F3:93:00:CD,Apple,60,-83,12:29:49,12:30:18,28.17
7B:FD:F6:C5:ED:26,Apple,63,-46,12:29:49,12:30:18,29.07
52:15:7A:93:BC:06,Apple,13,-81,12:29:49,12:30:15,25.95
C1:7E:35:99:0F:BE,Apple,2,-89,12:29:49,12:29:55,5.75
CB:0C:81:53:C3:0E,Alto Busker_BLE,18,-77,12:29:49,12:30:18,28.70
6B:2C:B3:40:2E:EF,Apple,3,-78,12:29:49,12:29:56,6.15
73:31:6F:47:A5:90,Apple,28,-70,12:29:49,12:30:18,28.54
77:2C:43:B2:E1:F0,Apple,2,-79,12:29:49,12:30:03,13.74
61:4D:DA:74:2D:45,Apple,29,-62,12:29:50,12:30:17,27.38
45:79:47:07:4A:C6,Apple,25,-75,12:29:50,12:30:19,29.17
7A:D7:44:29:73:8B,Apple,8,-80,12:29:50,12:30:12,22.48
5A:95:9B:75:76:83,Apple,20,-79,12:29:50,12:30:19,29.05
7E:1B:77:44:DB:83,Apple,8,-84,12:29:50,12:30:02,12.88
7F:B4:5B:1A:5A:4D,Apple,34,-33,12:29:50,12:30:18,28.51
50:24:19:07:09:1A,Apple,9,-74,12:29:50,12:30:18,28.20
7A:ED:DE:28:D0:0D,Apple,34,-80,12:29:50,12:30:19,28.95
54:21:84:F3:53:6A,Apple,4,-67,12:29:50,12:30:10,20.08
71:C5:E9:CC:60:09,Apple,24,-81,12:29:50,12:30:18,27.88
47:FA:A2:89:D7:0D,Apple,22,-83,12:29:50,12:30:19,28.84
65:3C:AE:63:12:F0,Apple,4,-78,12:29:50,12:30:00,10.70
DB:00:E2:B3:85:76,Apple,3,-49,12:29:50,12:29:56,6.01
5A:6F:E3:15:49:52,Apple,6,-80,12:29:50,12:30:18,28.57
FB:06:76:2C:73:01,Apple,1,-71,12:29:50,12:29:50,0.00
72:D4:5A:7D:F2:27,JBL TUNE660NC-LE,30,-70,12:29:50,12:30:19,28.67
48:72:BC:A9:5E:A9,Apple,33,-74,12:29:50,12:30:17,26.72
6A:65:B2:B0:A5:CE,Apple,36,-79,12:29:50,12:30:18,28.30
68:C5:3A:03:82:82,Apple,6,-89,12:29:50,12:30:13,22.86
6F:51:CE:3A:4D:7D,Apple,25,-70,12:29:50,12:30:18,28.44
6B:0E:DB:AD:07:B3,Apple,18,-82,12:29:50,12:30:16,25.80
48:D5:E7:84:58:1E,Apple,11,-86,12:29:50,12:30:15,25.46
7D:07:B9:B8:6F:33,Apple,2,-76,12:29:50,12:30:13,22.59
58:75:BD:2B:FB:36,Apple,12,-84,12:29:50,12:30:18,28.32
44:05:DE:F6:08:D0,Apple,22,-92,12:29:50,12:30:19,28.67
53:E4:B6:34:6A:AF,Apple,13,-81,12:29:50,12:30:12,21.89
61:B0:26:8A:00:7B,Apple,36,-83,12:29:50,12:30:19,28.51
7D:CC:63:2F:80:47,Apple,5,-86,12:29:50,12:29:56,6.26
6E:BD:BB:AE:86:BE,Apple,4,-81,12:29:50,12:30:15,24.50
41:05:A0:13:E7:06,Apple,24,-81,12:29:50,12:30:18,27.79
43:08:42:8D:D7:41,Apple,14,-88,12:29:50,12:30:16,25.34
D7:EA:5F:B7:59:C3,Apple,2,-74,12:29:50,12:30:06,16.03
