MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
CA:8C:DD:23:C2:16,N0715,13,-71,10:11:07,10:11:36,28.38
55:DB:89:DB:73:51,Apple,448,-75,10:11:07,10:11:38,30.22
46:5B:F0:42:E7:8D,Apple,49,-82,10:11:07,10:11:37,30.01
74:13:37:CF:B5:E2,Apple,82,-68,10:11:07,10:11:38,30.13
CD:4D:4C:93:28:DF,S24 C680 LE,183,-65,10:11:07,10:11:38,30.02
FA:BD:DB:D9:D8:5D,Andrew’s desk,55,-62,10:11:07,10:11:38,30.10
41:44:08:83:60:52,Apple,29,-71,10:11:08,10:11:38,30.20
60:2F:24:9D:0D:C2,Apple,101,-67,10:11:08,10:11:37,29.78
7F:E8:90:EE:C9:14,Apple,59,-64,10:11:08,10:11:38,30.10
CD:4D:34:E9:12:DD,S24 C36C LE,176,-60,10:11:08,10:11:38,30.10
E7:E7:01:88:37:89,S14 2E47 LE,125,-78,10:11:08,10:11:38,30.18
77:9B:61:95:6B:95,Apple,100,-59,10:11:08,10:11:38,29.94
57:BD:D2:79:56:45,Apple,61,-48,10:11:08,10:11:38,29.97
5F:E9:3C:8C:15:2F,Apple,51,-65,10:11:08,10:11:38,30.08
C0:28:8D:FA:34:8B,ID: 3,121,-83,10:11:08,10:11:38,30.07
B4:C2:E0:46:B2:32,Aqara-3001-a0b,109,-68,10:11:08,10:11:38,29.99
C1:36:E2:B3:DD:C0,Apple,12,-48,10:11:08,10:11:36,28.05
FC:54:6F:9D:B3:3E,Apple,10,-79,10:11:08,10:11:36,28.09
74:34:91:58:4B:D0,Apple,82,-64,10:11:08,10:11:38,30.04
43:67:33:AE:3D:ED,Apple,100,-58,10:11:08,10:11:38,29.97
70:16:08:C7:6A:CA,Apple,83,-30,10:11:08,10:11:37,29.65
1C:B3:C9:16:8F:60,Apple,91,-69,10:11:08,10:11:37,29.30
7B:1C:0B:44:A9:51,Apple,54,-48,10:11:08,10:11:37,29.43
E7:A7:6D:5B:77:36,S17 D84C LE,137,-64,10:11:08,10:11:38,29.87
00:7C:2D:C6:3F:3C,Samsung,21,-95,10:11:08,10:11:37,29.55
46:9C:A6:C4:D2:96,Apple,52,-62,10:11:08,10:11:38,29.79
B0:B9:50:E7:2E:46,S4d9eb16e8c35732aC,213,-92,10:11:08,10:11:38,29.64
04:E4:B6:52:6A:FB,Samsung,96,-65,10:11:08,10:11:37,29.04
42:DF:66:1D:7B:5A,Apple,83,-49,10:11:08,10:11:37,29.12
75:F8:03:87:44:D7,Apple,47,-47,10:11:08,10:11:37,28.76
44:90:73:AF:BD:08,Apple,20,-76,10:11:08,10:11:35,26.41
C1:BF:A4:18:83:BC,N02YN,15,-81,10:11:08,10:11:35,27.08
47:5A:6C:E1:21:45,Apple,3,-93,10:11:08,10:11:26,17.59
FA:67:29:BB:13:3F,Apple,8,-77,10:11:08,10:11:36,28.09
F0:67:F8:80:D2:8D,N43VN,10,-84,10:11:08,10:11:35,26.95
BC:7E:8B:A7:75:2B,Samsung,56,-82,10:11:08,10:11:38,29.26
F8:4E:58:A8:DF:D1,Samsung,100,-64,10:11:08,10:11:38,29.39
48:02:80:26:81:87,Apple,47,-86,10:11:08,10:11:37,28.94
DC:56:E7:32:9F:A9,Apple,34,-85,10:11:08,10:11:38,29.20
DC:44:8D:9A:FF:17,Apple,6,-65,10:11:09,10:11:33,24.06
EB:A6:D1:F8:A7:23,Apple,10,-62,10:11:09,10:11:35,26.06
DB:C3:14:C6:2A:C9,Apple,8,-65,10:11:09,10:11:29,20.03
50:32:5F:A2:C2:BF,ResMed 068051,9,-95,10:11:09,10:11:36,27.58
F4:8A:97:C0:91:89,Apple,2,-85,10:11:09,10:11:21,12.03
